Date,Open,High,Low,Close,Volume,Exchange
2025-10-03,2924.00,2924.00,2891.10,2903.00,2799767,NSE
2025-10-01,2891.00,2924.80,2866.60,2916.80,1941068,NSE
2025-09-30,2911.00,2915.30,2885.10,2894.90,2228350,NSE
2025-09-29,2916.00,2929.30,2894.00,2904.30,3084635,NSE
2025-09-26,2941.00,2954.80,2891.30,2905.40,3876112,NSE
2025-09-25,3022.00,3029.60,2951.00,2958.00,4930118,NSE
2025-09-24,3050.00,3057.00,3033.00,3036.00,1603299,NSE
2025-09-23,3070.00,3080.70,3052.00,3065.00,3055485,NSE
2025-09-22,3095.00,3106.90,3065.00,3075.50,2914607,NSE
2025-09-19,3170.00,3180.50,3144.00,3171.00,4883224,NSE
2025-09-18,3185.00,3203.00,3161.40,3177.00,2613572,NSE
2025-09-17,3152.00,3182.40,3142.40,3175.00,2409180,NSE
2025-09-16,3128.00,3150.00,3109.10,3147.90,2546538,NSE
2025-09-15,3134.00,3134.00,3096.00,3112.40,1717304,NSE
2025-09-12,3144.00,3148.70,3121.00,3133.00,1422083,NSE
2025-09-11,3139.00,3139.00,3110.10,3125.20,2214767,NSE
2025-09-10,3056.40,3122.70,3053.40,3110.00,2052912,NSE
2025-09-09,3032.10,3060.00,3030.80,3052.00,2474969,NSE
2025-09-08,3050.00,3064.90,3016.00,3023.00,2600888,NSE
2025-09-05,3097.10,3103.40,3028.60,3048.00,2789150,NSE
2025-09-04,3116.00,3118.00,3090.80,3095.80,1468300,NSE
2025-09-03,3129.90,3141.90,3088.00,3100.00,1760465,NSE
2025-09-02,3121.10,3132.90,3103.10,3131.00,298397,NSE
2025-09-01,3090.00,3131.10,3090.00,3112.60,1246862,NSE
2025-08-29,3093.00,3115.00,3077.20,3084.70,2271789,NSE
2025-08-28,3145.00,3146.50,3086.50,3093.70,3116051,NSE
2025-08-26,3129.00,3162.00,3120.00,3157.20,5522097,NSE
2025-08-25,3087.30,3152.00,3077.10,3140.60,3448370,NSE
2025-08-22,3086.00,3095.70,3050.00,3054.00,1593791,NSE
2025-08-21,3130.00,3130.00,3083.10,3102.60,3230726,NSE
2025-08-20,3010.90,3103.40,3010.90,3098.60,4952358,NSE
2025-08-19,3011.20,3025.00,3011.10,3016.20,2650784,NSE
2025-08-18,3046.50,3049.00,3003.40,3011.20,2945609,NSE
2025-08-14,3034.00,3055.90,3019.10,3022.30,3342174,NSE
2025-08-13,3036.10,3044.40,3028.60,3036.20,2148166,NSE
2025-08-12,3041.00,3096.40,3026.90,3035.40,3358232,NSE
2025-08-11,3036.40,3049.90,3021.30,3040.80,1884215,NSE
2025-08-08,3048.10,3059.80,3025.00,3036.40,2762140,NSE
2025-08-07,3016.00,3051.60,3010.90,3047.00,2543076,NSE
2025-08-06,3063.00,3066.80,3026.00,3032.30,1487081,NSE
2025-08-05,3074.40,3077.50,3042.00,3063.90,1927996,NSE
2025-08-04,3009.10,3079.40,2991.60,3074.40,2519252,NSE
2025-08-01,3029.90,3036.80,3000.00,3003.00,2053847,NSE
2025-07-31,3041.70,3059.80,3015.00,3036.80,2968371,NSE
2025-07-30,3060.00,3069.00,3047.20,3053.60,2880121,NSE
2025-07-29,3060.00,3074.00,3041.20,3056.00,4785312,NSE
2025-07-28,3110.00,3118.00,3069.90,3079.30,3374473,NSE
2025-07-25,3140.00,3156.90,3125.60,3135.80,2568917,NSE
2025-07-24,3165.10,3173.70,3140.00,3148.00,2934778,NSE
2025-07-23,3159.60,3182.00,3157.60,3179.10,1922875,NSE
2025-07-22,3159.60,3180.10,3154.60,3159.60,3198036,NSE
2025-07-21,3190.00,3197.60,3152.00,3158.20,3844346,NSE
2025-07-18,3225.00,3228.80,3187.00,3189.90,3432645,NSE
2025-07-17,3224.10,3242.00,3204.10,3209.20,2947640,NSE
2025-07-16,3227.00,3244.90,3220.60,3233.10,2540733,NSE
2025-07-15,3206.00,3259.40,3206.00,3252.30,2590889,NSE
2025-07-14,3266.00,3272.00,3200.00,3222.70,3924009,NSE
2025-07-11,3299.90,3335.00,3261.10,3266.00,7635550,NSE
2025-07-10,3380.00,3399.00,3356.00,3382.00,3035012,NSE
2025-07-09,3410.00,3414.00,3367.00,3383.80,2034938,NSE
2025-07-08,3405.00,3425.00,3393.40,3406.20,2325242,NSE
2025-07-07,3418.30,3426.10,3408.40,3411.70,1639174,NSE
2025-07-04,3408.00,3427.00,3390.10,3419.80,1109320,NSE
2025-07-03,3430.00,3435.30,3397.60,3400.80,2531870,NSE
2025-07-02,3487.20,3489.90,3420.00,3423.30,3090585,NSE
2025-07-01,3455.00,3485.00,3413.50,3429.70,2375183,NSE
2025-06-30,3439.90,3464.90,3430.00,3462.00,1468351,NSE
2025-06-27,3455.00,3466.40,3431.00,3441.10,1778433,NSE
